CREATE_FOLDER_____,CREATE_THREAD_____,DEVICE_ACCESS_____,FS_ACCESS____,FS_ACCESS(CREATE)____,FS_ACCESS(READ)____,__arm_nr_set_tls,_llseek,access,clock_gettime,clone,close,epoll_wait,fcntl64,fstat64,getpid,getpriority,gettid,gettimeofday,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mprotect,munmap,open,prctl,pread64,pwrite64,read,recvfrom,setpriority,sigaltstack,sigprocmask,stat64,write,writev,Class
12,75,40,126,34,68,75,87,338,22583,75,420,4376,815,702,3374,161,169,2066,3410,4464,8,63,484,18,619,1432,475,344,218,447,336,1452,4244,107,120,692,346,1717,85,4
10,236,29,51,6,70,237,54,48,1334,236,172,288,134,60,254,331,402,236,254,586,135,24,925,12,949,710,719,176,341,25,0,507,160,239,445,303,83,422,342,1
29,84,187,420,72,375,94,301,691,2885,84,1513,407,1919,1281,334,242,296,1632,366,2678,660,143,1422,48,1554,2879,564,1137,280,538,215,9934,168,91,127,309,718,1620,1865,3
0,85,57,340,107,48,88,12,514,5318,85,1430,244,2749,1449,229,177,164,1972,250,3988,24,42,543,6,706,555,472,567,177,589,908,1115,87,85,124,36,644,1231,292,3
5,38,36,47,4,987,38,56,22,194332,38,1150,40342,91,1106,38011,54,315,1348,37995,1560,42,13,369,5,357,466,192,1095,168,29,1,9185,812,41,40,261,55,2794,204,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,10,2,16,2,14,10,6,5,6244,10,40,1566,8,15,808,32,29,5,823,2137,8,3,68,2,79,84,13,42,92,6,0,412,1550,7,10,94,19,834,7,1
6,43,32,93,30,33,43,6,150,3765,43,322,541,798,380,462,177,215,540,470,1182,32,13,255,6,491,791,374,203,136,402,322,371,380,49,54,647,256,640,117,4
11,13,26,30,3,64,14,54,22,614,13,109,60,63,29,80,58,31,42,86,308,112,15,224,12,235,440,63,136,111,6,0,175,175,11,18,6,42,287,138,3
2,17,3,13,2,35,17,6,9,2136,17,70,833,24,80,254,32,37,614,263,207,8,3,86,2,116,179,45,61,97,31,0,453,781,14,20,201,21,447,9,2
5,36,25,47,24,748,36,6,44,39715,36,913,6508,364,836,1447,34,496,2079,1425,234,108,25,283,5,316,295,155,861,172,6,135,4592,1002,38,37,208,73,2474,22,3
4,15,2,5,3,18,15,30,16,217409,15,160,42221,136,136,22041,62,22011,718,23895,7754,10,4,1382,4,80,215,32,38,103,14,0,20930,12,21986,16,5,69,44205,1148,1
7,28,3,17,6,30,28,6,63,875,28,96,130,37,111,102,52,53,40,122,371,8,25,150,9,184,325,113,79,114,54,0,130,127,32,44,200,74,163,40,0
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,20,23,6,29,51,8,7,36,3,58,55,28,28,91,24,0,18,0,6,10,41,25,42,3,2
0,8,33,41,5,10,8,9,80,128,8,124,48,282,191,40,34,21,174,56,334,14,16,32,2,83,88,50,99,91,74,30,34,0,5,8,0,90,229,1,3
4,12,20,104,27,17,12,6,192,1400,12,180,714,745,485,397,34,33,649,408,280,10,4,79,4,115,186,54,178,94,259,60,625,74,11,13,115,259,96,11,2
2,10,2,31,2,16,10,6,5,340,10,65,61,10,30,71,62,28,7,80,222,8,3,112,8,145,228,73,59,94,45,0,36,46,7,11,187,25,134,30,3
17,58,43,190,50,687,58,358,427,36208,58,1073,5206,1191,1422,4438,182,288,1092,4569,4377,42,54,574,20,669,897,492,1049,256,439,396,2999,3997,72,76,652,603,2237,156,4
3,17,2,12,3,18,17,6,12,106,17,38,29,6,10,40,39,36,9,55,170,8,5,101,3,113,5726,27,44,100,9,0,30,19,15,19,18,16,71,25,4
3,13,2,9,3,16,13,6,8,230,13,47,89,6,26,69,53,33,18,84,189,10,4,78,3,78,170,18,40,95,5,0,633,24,14,15,43,74,134,18,1
5,41,18,57,11,932,41,6,46,31054,41,1070,3644,259,910,1926,94,538,1807,1881,2570,86,28,234,5,250,318,93,1035,124,31,51,3085,2890,45,46,234,88,1072,227,3
5,41,6,45,5,635,41,6,50,10512,41,724,1957,200,676,685,119,302,443,683,1164,86,30,201,5,219,295,72,708,126,27,12,2741,705,46,46,36,83,1150,44,1
7,34,4,19,4,15,34,6,66,3548,34,75,408,38,56,348,90,63,60,363,1375,8,19,165,9,186,238,118,63,120,32,0,328,1141,33,58,199,70,516,19,0
4,12,26,31,4,64,13,54,12,142,12,95,30,43,19,39,37,31,11,53,172,113,14,217,5,229,328,55,139,108,6,0,115,9,10,15,32,52,96,15,1
0,78,40,261,91,56,81,9,339,4854,78,1283,230,2138,1074,200,144,153,1435,214,3621,18,30,534,6,644,492,430,460,170,381,908,1122,85,78,116,35,443,1116,250,3
10,23,4,45,6,55,23,182,130,729,23,159,35,50,203,63,51,52,104,85,161,19,25,194,11,136,713,66,148,125,12,0,403,13,28,33,70,62,197,41,4
3,9,2,3,3,8,9,6,12,57,9,22,12,5,14,15,18,23,6,29,51,8,7,35,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
3,12,2,5,3,10,12,6,17,197,12,27,18,6,19,25,30,26,6,38,70,10,8,62,3,62,96,32,33,94,19,0,598,1,9,16,32,37,53,13,2
0,8,5,6,1,10,8,9,11,77,8,27,3,7,14,10,45,22,4,24,71,14,16,43,2,66,108,29,33,91,26,0,24,0,5,8,48,22,203,36,3
8,49,45,105,30,41,49,98,168,6437,49,391,1134,762,464,923,263,222,552,887,2075,32,21,314,8,506,1596,375,244,157,351,361,515,988,53,68,1095,273,982,155,4
14,35,103,214,58,72,35,217,450,4001,35,611,375,1322,985,562,175,77,1389,406,1547,13,68,304,15,506,1009,404,526,148,477,599,524,310,44,51,603,446,728,169,4
14,74,23,195,26,153,74,349,611,14442,74,545,2153,1687,1059,1707,160,149,1186,1856,3275,13,61,743,16,850,1032,727,475,406,525,193,1462,3993,91,123,749,845,1464,464,4
6,40,21,43,5,709,40,146,39,149714,40,827,25469,95,820,21432,52,292,1633,21421,958,39,20,302,6,291,419,129,798,144,19,1,4876,1143,42,44,189,72,2238,141,2
5,32,4,17,4,15,32,6,64,416,32,69,43,43,61,55,54,62,51,65,207,8,20,168,5,191,243,112,63,122,43,0,40,25,36,50,188,64,101,46,0
2,10,2,8,2,14,10,6,7,1994,10,33,864,8,7,239,21,24,596,250,129,8,3,62,2,85,90,29,34,90,21,0,406,764,7,11,110,16,423,5,2
2,11,2,16,2,15,11,6,5,2090,11,86,662,17,16,231,97,31,9,228,6828,8,3,112,2,133,249,63,44,91,43,0,278,944,9,11,275,31,454,43,2
3,17,2,21,3,25,17,6,11,1744,17,65,52,10,53,64,55,32,174,73,214,8,7,116,3,114,509,40,59,101,18,0,59,62,14,21,119,27,107,25,0
0,8,40,48,5,10,8,9,92,144,8,130,51,331,226,40,32,21,203,55,355,14,15,43,1,86,59,52,113,91,88,30,37,0,5,8,0,104,92,4,3
0,8,2,3,1,8,8,6,3,52,8,18,3,5,6,9,49,21,7,25,82,8,3,30,0,34,67,3,22,91,2,0,16,0,5,8,0,15,96,3,3
3,9,2,3,3,8,9,6,12,57,9,22,12,5,14,15,18,23,6,29,50,8,7,35,3,58,56,28,28,91,24,0,18,0,6,10,41,25,38,3,2
10,52,63,127,23,537,53,54,149,68223,52,775,17986,714,790,14204,143,518,1387,14205,899,220,28,548,11,551,634,260,777,198,170,185,3540,164,77,61,150,239,2127,113,4
5,40,38,44,4,762,40,152,22,141683,40,919,24001,95,914,19066,53,301,3170,19057,1940,40,13,331,5,341,413,180,870,159,28,1,7132,1483,42,46,249,48,3509,102,2
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,49,8,7,37,3,58,54,28,28,91,24,0,18,0,6,10,41,25,38,3,2
3,13,2,12,2,18,13,6,6,101,13,37,33,6,8,39,38,31,5,51,156,8,3,87,3,98,2659,20,42,95,7,0,34,15,10,13,16,19,78,16,4
2,9,2,3,2,8,9,6,5,18,9,18,2,5,6,8,16,22,3,18,32,8,3,32,2,35,38,5,23,91,1,0,16,0,6,10,1,10,28,3,4
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,48,8,7,37,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
5,35,14,32,6,25,37,6,61,650,35,219,49,49,79,64,76,72,64,74,375,8,21,254,7,249,282,125,101,127,46,0,87,31,38,54,126,56,157,206,0
5,35,21,45,4,803,35,34,22,137717,35,901,23354,87,862,19230,65,281,1591,19219,793,39,13,362,5,271,881,115,888,133,19,1,8280,1101,37,36,218,38,3053,85,2
5,18,86,136,43,29,18,6,233,900,18,325,104,1006,615,111,75,37,799,136,740,8,24,176,5,218,300,163,325,113,249,460,121,15,16,26,96,290,202,54,4
3,12,3,16,3,16,12,36,15,318,12,42,57,7,33,48,38,27,7,60,181,14,6,93,3,101,198,40,49,95,20,0,79,44,9,16,142,29,90,12,2
6,31,34,134,39,61,31,6,194,1726,31,346,222,851,650,176,70,68,422,196,705,8,19,190,6,217,307,143,289,121,204,370,170,231,40,49,200,237,186,62,0
8,30,91,194,63,65,32,7,340,1293,30,582,112,1282,876,209,93,63,1401,180,958,8,52,296,11,335,558,208,473,134,283,597,8671,12,28,49,127,425,270,63,4
4,12,26,31,4,64,13,54,12,133,12,95,30,43,19,39,39,31,11,53,175,113,14,215,5,229,328,55,139,108,6,0,115,9,10,15,32,52,100,15,1
0,8,3,4,1,9,8,9,8,50,8,21,9,7,9,12,18,21,4,27,40,14,15,42,1,37,22,3,27,91,2,0,22,0,5,8,0,17,33,4,3
2,14,3,13,2,35,14,6,9,1199,14,70,501,24,80,56,33,28,22,67,197,8,3,77,2,108,183,46,61,94,32,0,255,770,11,17,238,25,250,10,2
2,12,3,8,2,14,12,6,9,2040,12,33,891,8,7,242,27,29,597,257,157,8,3,68,2,101,125,42,35,92,31,0,405,759,9,14,200,21,435,7,2
1,14,3,22,10,12,14,6,43,197,14,52,10,159,94,97,24,29,137,26,95,8,4,68,1,52,170,19,58,96,31,71,94,0,11,19,5,52,177,80,3
5,35,21,43,4,781,35,44,22,129686,35,881,22134,88,857,17857,44,281,1618,17842,874,40,13,312,5,282,418,127,866,143,19,1,7659,1142,37,36,204,46,2867,60,2
2,52,6,35,3,36,53,23,93,8485,52,225,1325,100,68,916,106,223,53,903,2452,23,30,274,3,286,554,129,93,135,49,0,587,1862,57,71,85,73,840,544,3
2,13,3,9,2,15,13,6,5,1227,13,37,555,11,11,91,29,27,6,106,193,8,3,75,2,88,154,25,37,93,15,0,227,796,10,15,73,21,266,149,2
10,50,10,49,11,703,50,6,92,11397,50,807,2219,221,802,915,54,305,494,896,278,84,45,287,12,287,312,122,803,146,13,15,2085,22,59,61,110,87,704,99,0
7,34,8,52,18,15,34,6,100,718,34,93,108,404,220,63,60,201,288,76,240,32,15,122,7,112,429,29,107,116,104,63,98,1,36,39,17,149,181,122,3
5,41,21,42,4,770,41,42,22,147167,41,873,25177,95,858,21064,56,290,1604,21056,802,40,13,356,5,299,428,141,857,148,19,1,6487,1067,43,47,217,48,2952,176,2
3,10,2,5,3,10,10,6,12,87,10,25,18,6,16,25,26,24,6,36,67,10,7,47,3,57,87,27,32,92,20,0,604,1,7,12,15,33,52,8,2
3,47,40,89,11,77,48,65601,488,1730,47,314,403,428,275,309,190,209,402,327,1192,141,100,376,4,414,614,166,249,149,104,30,66377,87,49,63,125,222,643,636,3
7,47,47,69,23,1587,47,6,57,234917,47,1885,37125,364,1741,31220,61,935,2278,31155,3549,106,34,453,7,486,529,298,1746,237,48,120,6795,2674,50,52,180,125,3405,120,4
3,9,2,3,3,8,9,6,8,58,9,20,12,5,10,15,20,23,4,29,51,8,5,36,3,58,51,28,26,91,24,0,18,0,6,10,41,21,40,3,2
2,11,2,16,2,14,11,6,5,145,11,39,22,7,15,33,30,30,4,44,106,8,3,78,2,95,267,22,42,93,18,0,27,16,8,11,101,17,61,27,2
3,17,2,21,3,25,17,6,11,1035,17,65,43,10,53,57,55,32,174,66,187,8,7,114,3,114,348,40,59,101,18,0,59,34,14,21,155,27,98,24,0
3,9,2,3,3,8,9,6,8,55,9,20,12,5,10,15,18,23,4,29,50,8,5,36,3,58,50,28,26,91,24,0,18,0,6,10,41,21,36,3,2
3,14,2,11,3,21,14,6,16,4680,14,263,514,64,39,609,186,40,13,510,2730,10,8,99,3,139,403,74,50,96,6,0,771,418,11,16,48,37,2198,27,1
0,59,102,187,17,276,62,122,325,2212,59,640,241,720,674,267,194,113,505,493,1389,106,11,649,3,841,4155,518,598,178,350,100,578,137,60,99,701,421,369,141,4
6,37,30,106,22,103,43,54,91,821,37,524,102,322,180,76,257,209,214,109,526,137,39,451,12,468,662,114,287,134,56,91,208,8,39,49,31,112,634,42,3
9,60,181,121,15,66,60,206,282,8191,60,547,784,839,714,728,171,253,1341,703,2965,54,25,466,9,621,1220,478,471,159,383,293,1442,1918,87,83,624,289,1038,1483,3
0,8,2,3,1,8,8,6,3,23,8,18,10,5,6,13,15,21,5,28,59,8,3,29,0,34,33,3,22,90,3,0,17,0,5,8,4,15,29,2,3
6,39,58,105,37,965,39,6,51,90533,39,1306,12001,563,1155,4728,37,1367,6114,4663,5840,128,19,394,6,407,364,231,1182,180,80,288,6435,7801,41,40,291,154,3783,194,3
3,39,91,30,88,63,39,6,47,36597,39,527,7175,1024,272,1001,49,630,3727,987,483,108,16,218,3,414,270,267,289,146,41,796,4198,468,42,42,265,70,2804,44,0
7,13,29,40,4,66,14,70,44,648,13,137,94,45,66,95,53,30,9,109,332,111,27,268,8,301,873,116,166,113,51,0,169,86,10,18,251,68,354,46,3
3,9,2,3,3,8,9,6,12,53,9,22,12,5,14,15,20,23,6,29,53,8,7,37,3,58,54,28,28,91,24,0,18,0,6,10,41,25,42,3,2
3,13,3,2,2,8,13,6,5,16,13,18,3,5,6,9,22,31,4,22,54,8,3,44,3,48,77,3,24,95,2,0,16,0,15,13,0,15,37,3,1
3,22,2,4,3,10,22,6,14254,6230,22,49,62,40,49,69,54,52,108,28545,95115,10,18,392,3,79,242,13,43,104,6,0,617,22,24,24,2,60,133,32889,1
3,9,2,3,3,8,9,6,12,53,9,22,12,5,14,15,18,23,6,29,52,8,7,37,3,58,54,28,28,91,24,0,18,0,6,10,41,25,38,3,2
5,32,9,34,10,25,32,11,55,13422,32,85,106,246,133,91,55,189,1068496,88,6983,32,10,245,5,151,379,48,88,114,63,72,93,21,34,37,93,67,148,40,1
4,81,101,267,94,103,88,27,751,2463,81,1187,181,1537,1173,194,116,286,1340,222,1344,62,164,651,17,627,920,226,642,179,415,255,5429,92,90,109,75,447,430,287,3
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,49,8,7,36,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
0,8,2,3,1,8,8,6,3,14,8,18,5,5,6,9,12,21,3,21,31,8,3,29,0,32,20,2,22,90,1,0,17,0,5,8,0,11,23,0,1
0,1,0,19,1,729,2,0,10,1,1,741,0,3,725,2,0,12,1,1,0,0,0,26,1,27,16,5,751,0,0,0,1144,0,0,2,21,0,1,107,3
3,14,2,15,3,14,14,6,16,3644,14,59,977,12,17,344,44,29,203971,354,921,8,4,116,3,124,122,61,44,96,33,0,481,1427,12,19,219,33,651,14,2
2,10,2,16,2,15,10,6,5,2095,10,82,681,17,16,218,89,27,9,217,6838,8,3,114,2,128,236,61,44,90,43,0,278,953,8,10,288,31,441,48,2
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,54,8,7,38,3,58,56,28,28,91,24,0,18,0,6,10,41,25,38,3,2
3,14,2,25,9,18,14,6,27,200,14,159,45,133,74,42,38,30,237,71,171,10,3,86,3,111,161,46,62,96,56,51,613,110,11,17,71,56,79,10,1
2,10,2,16,2,14,10,6,5,134,10,38,20,7,15,30,31,26,4,42,101,8,3,75,2,91,268,22,42,92,18,0,26,13,7,10,111,17,60,26,2
2,14,3,9,2,15,14,6,5,1252,14,37,547,11,11,89,27,31,5,102,184,8,3,95,2,94,167,31,37,96,16,0,225,796,11,17,78,17,258,150,2
3,21,2,36,2,95,21,6,8,1318,21,200,140,81,301,144,60,35,101,149,462,8,9,116,3,132,376,44,143,103,28,0,256,247,18,22,56,27,156,160,4
0,8,26,27,3,71,9,54,12,22,8,97,5,42,27,11,12,25,6,26,83,112,15,170,2,192,324,42,139,105,3,0,116,0,5,9,1,32,54,7,3
3,9,2,3,3,8,9,6,12,56,9,22,12,5,14,15,18,23,6,29,52,8,7,37,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
6,40,7,55,6,1217,40,6,48,46415,40,1418,9765,190,1280,4486,434,276,730,4914,3287,86,22,229,6,279,359,130,1304,121,24,6,5608,770,42,44,72,405,3665,60,1
8,45,7,45,5,787,45,37,57,21974,45,906,4106,119,833,2990,124,261,359,2960,1967,32,19,275,18,385,655,215,871,134,143,1,2341,1358,49,53,438,93,1257,108,4
3,10,2,15,3,14,10,6,12,3640,10,61,966,12,21,338,41,25,10,355,861,8,6,114,3,112,110,49,46,92,33,0,473,1407,8,11,204,35,629,15,2
3,9,2,3,3,8,9,6,12,55,9,22,12,5,14,15,20,23,6,29,52,8,7,37,3,58,55,28,28,91,24,0,18,0,6,10,41,25,42,3,2
2,10,2,16,2,14,10,6,5,137,10,38,20,7,15,30,29,26,4,42,102,8,3,75,2,91,262,22,42,92,18,0,26,13,7,10,110,17,56,27,2
3,13,2,9,3,16,13,6,8,225,13,47,85,6,26,68,50,33,18,83,187,10,4,80,3,78,170,18,40,95,5,0,630,24,14,15,39,72,125,18,1
2,15,14,16,2,16,15,6,20,340,15,56,51,11,43,64,43,34,19,81,311,10,31,96,2,110,181,40,58,97,21,0,651,37,14,19,79,32,96,12,1
0,25,4,8,1,20,25,12,66,244,25,51,25,42,51,50,74,48,69,61,211,20,38,130,2,99,232,48,47,116,2,0,47,3,24,37,12,77,225,254,3
3,12,9,26,9,10,12,6,37,336,12,73,25,255,121,35,37,29,421,138,352,8,3,57,3,62,138,29,62,96,48,98,24,16,9,15,19,65,68,9,1
4,21,66,31,6,81,23,171,113,6395,21,507,440,15,58,449,429,57,65,534,2875,12,22,303,6,522,906,406,209,144,209,0,1157,1415,24,28,426,273,1523,119,4
3,10,2,3,3,8,10,6,12,51,10,22,12,5,14,16,19,27,6,30,54,8,7,38,3,61,55,28,28,92,24,0,18,0,7,11,41,25,41,3,2
8,48,17,46,16,711,48,9,72,28236,48,878,4270,290,841,2164,76,453,844,2025,5917,84,27,269,8,345,695,185,818,135,91,67,3459,5428,55,58,318,99,2631,81,4
13,51,2544,2096,22,101,51,190,5429,12394,51,5016,601,16524,12188,620,237,121,31913,594,12741,13,69,595,15,2985,1817,2878,4869,151,4943,1995,860,568,73,84,644,4221,1037,248,4
28,98,166,380,43,991,118,301,383,2662,98,3643,288,694,739,346,344,461,552,319,2898,677,341,1804,58,1867,3175,603,1674,298,134,125,10958,176,104,160,371,304,1810,1819,3
2,13,3,9,2,15,13,6,5,1264,13,37,563,11,11,88,28,27,5,101,193,8,3,83,2,92,175,28,37,95,17,0,225,796,10,15,34,17,258,154,2
3,10,2,3,2,8,10,6,5,40,10,22,15,5,10,17,21,23,11,33,48,8,3,33,3,36,31,0,23,90,1,0,18,0,7,10,0,19,38,0,3
2,10,2,16,2,14,10,6,5,137,10,38,20,7,15,30,29,26,4,42,107,8,3,75,2,91,261,22,42,92,18,0,26,15,7,10,111,17,56,26,2
0,14,4,3,1,15,14,9,28,82,14,28,3,12,20,18,27,32,11,25,95,14,9,57,0,59,142,23,33,97,6,0,29,1,12,19,17,25,45,12,0
3,22,2,2,2,9,22,6,14,208,22,48,73,15,13,69,49,57,44,113,273,10,7,84,3,83,116,29,28,104,2,0,208,0,28,28,6,35,115,15,1
3,16,2,8,3,15,16,6,18,3362,16,57,662,13,10,476,73,33,209,487,975,10,5,127,3,133,194,73,38,98,41,0,759,810,13,22,252,48,411,44,2
20,52,14,50,94,714,52,8,168,27622,52,1025,4106,195,1122,3138,85,291,461,3121,2988,32,41,295,29,439,744,271,979,136,192,32,3282,2691,60,64,327,94,6670,268,4
0,8,2,3,1,8,8,6,3,18,8,18,3,5,6,9,16,21,4,22,41,8,3,29,0,44,59,14,22,90,13,0,16,0,5,8,20,15,30,3,4
5,34,21,42,4,713,34,50,22,107269,34,812,17372,88,772,16070,45,272,792,16053,819,38,13,1268,5,1272,456,120,796,1131,19,1,3587,418,36,35,232,40,1388,93,2
0,8,39,47,5,10,8,9,90,149,8,128,51,324,221,40,32,21,199,55,340,14,15,43,1,85,58,51,111,91,86,30,37,0,5,8,0,102,90,4,3
8,108,36,70,30,873,108,6,135,82257,108,1229,14022,534,1293,11326,197,900,1617,11284,1095,84,37,719,8,669,979,492,1057,206,247,162,3704,522,163,173,714,170,2538,135,4
3,12,2,10,3,35,12,6,6,164,12,73,27,41,106,37,35,28,39,54,152,10,4,69,3,42,149,6,59,92,1,0,645,7,9,14,2,33,64,171,1
11,32,78,97,96,207,35,159,140,1619,32,539,275,190,407,255,128,92,123,273,976,339,97,640,16,703,937,272,621,170,77,0,625,183,36,55,384,154,884,184,0
6,35,8,40,8,442,35,12,53,5750,35,549,1146,207,518,548,140,228,407,541,790,34,13,196,6,249,366,108,513,119,70,29,1868,332,37,39,203,101,720,59,1
7,21,2,19,3,28,21,6,40,1217,21,98,108,23,89,125,102,58,167,147,413,8,19,141,10,175,280,96,77,103,64,0,114,59,24,28,284,65,323,85,4
2,8,2,3,2,8,8,6,3,15,8,18,3,5,6,9,15,21,3,19,29,8,3,27,2,30,34,0,23,88,1,0,16,0,5,8,0,11,28,3,2
3,11,2,8,3,16,11,32,10,1125,11,34,500,8,20,48,26,28,6,59,150,13,4,78,3,85,146,29,38,93,16,0,255,787,8,13,102,20,244,64,2
5,35,25,48,24,764,35,6,44,39526,35,931,6542,367,852,1426,32,495,2095,1405,233,108,25,271,5,305,288,145,878,162,6,136,4652,996,37,36,208,72,2476,22,3
10,29,2,89,4,365,29,6,721,6552,29,826,473,334,1378,365,119,54,449,367,1078,8,13,191,14,235,577,153,471,115,90,0,952,366,28,42,331,44,440,164,3
5,26,34,85,21,23,26,6,205,4944,26,459,786,553,409,492,213,66,711,573,2056,8,41,315,5,570,1305,486,207,123,437,153,223,853,39,37,702,244,645,490,4
3,20,5,27,6,15,20,6,45,316,20,64,63,95,63,65,46,34,75,73,189,8,3,112,3,160,181,94,61,104,64,32,41,55,17,32,245,69,88,14,4
3,12,2,5,2,10,12,7,6,405,12,25,24,10,17,31,27,27,94,45,151,8,3,49,3,47,144,5,30,94,4,0,25,1,9,12,4,17,264,11,3
0,9,5,11,2,9,9,6,19,19,9,28,8,61,41,11,17,22,61,22,52,10,3,32,0,38,98,7,35,91,19,0,593,0,6,10,1,32,32,29,1
29,90,157,271,38,565,100,301,385,2534,90,1775,287,730,586,293,233,343,588,303,2136,677,338,1436,49,1497,2989,502,1120,283,149,155,10428,168,95,138,326,316,1642,1612,3
1,39,15,42,13,34,39,39,112,1105,39,239,237,305,187,182,121,195,272,199,1063,41,35,154,2,243,411,134,120,128,80,43,40813,0,38,48,24,144,472,28,3
9,83,29,126,31,107,89,46,216,15852,83,818,2721,723,472,1484,127,353,928,1481,721,91,43,590,15,608,690,334,332,193,164,183,1280,134,92,131,433,252,800,165,0
11,64,13,61,8,825,66,84,163,27461,64,1101,4830,237,1063,3055,128,338,674,3059,949,97,51,467,25,409,588,170,975,151,50,6,2992,567,75,85,577,284,1489,128,1
5,34,7,30,6,24,36,6,68,447,34,207,41,43,77,56,53,67,49,68,206,8,23,213,7,239,271,125,93,124,43,0,83,31,37,55,172,63,99,48,0
